figure_id,Collection,Compartment
2138444,CPTI000877,VNC
2138445,CPTI000877,overview
2138446,CPTI003049,overview
2138447,CPTI003049,VNC
2138448,CPTI003049,OL
2138449,CPTI001659,overview
2138450,CPTI003049,MB
2138451,CPTI003049,CB
2138452,CPTI001740,MB
2138453,CPTI001740,VNC
2138454,CPTI001740,overview
2138455,CPTI002646,CB
2138456,CPTI002646,OL
2138457,CPTI002646,MB
2138458,CPTI002646,VNC
2138459,CPTI002646,overview
2138460,CPTI000590,CB
2138461,CPTI000590,OL
2138462,CPTI000590,MB
2138463,CPTI000590,VNC
2138464,CPTI001595,MB
2138465,CPTI001277,overview
2138466,CPTI000590,overview
2138467,CPTI002807,OL
2138468,CPTI002807,MB
2138469,CPTI002807,VNC
2138470,CPTI002807,overview
2138471,CPTI000365,CB
2138472,CPTI000365,OL
2138473,CPTI000365,MB
2138474,CPTI000365,VNC
2138475,CPTI000365,overview
2138476,CPTI100035,CB
2138477,CPTI100035,OL
2138478,CPTI003490,overview
2138479,CPTI100035,VNC
2138480,CPTI100035,overview
2138481,CPTI000286,CB
2138482,CPTI000286,OL
2138483,CPTI000286,VNC
2138484,CPTI002443,overview
2138485,CPTI000286,overview
2138486,CPTI002443,CB
2138487,CPTI002443,OL
2138488,CPTI002443,VNC
2138489,CPTI000616,CB
2138490,CPTI000616,OL
2138491,CPTI000616,MB
2138492,CPTI000616,overview
2138493,CPTI000616,VNC
2138494,CPTI003598,CB
2138495,CPTI003598,OL
2138496,CPTI003598,MB
2138497,CPTI003598,VNC
2138498,CPTI003598,overview
2138499,CPTI004071,CB
2138500,CPTI004071,OL
2138501,CPTI001457,overview
2138502,CPTI003522,VNC
2138503,CPTI001457,CB
2138504,CPTI001457,VNC
2138505,CPTI001457,MB
2138506,CPTI100045,MB
2138507,CPTI100045,OL
2138508,CPTI003588,VNC
2138509,CPTI100045,CB
2138510,CPTI003745,OL
2138511,CPTI001056,CB
2138512,CPTI003745,VNC
2138513,CPTI003745,overview
2138514,CPTI001259,CB
2138515,CPTI001259,OL
2138516,CPTI001259,MB
2138517,CPTI001259,VNC
2138518,CPTI001259,overview
2138519,CPTI003588,MB
2138520,CPTI002406,OL
2138521,CPTI002406,MB
2138522,CPTI002406,VNC
2138523,CPTI002406,overview
2138524,CPTI003669,CB
2138525,CPTI003588,CB
2138526,CPTI003669,MB
2138527,CPTI003669,VNC
2138528,CPTI003669,overview
2138529,CPTI002927,CB
2138530,CPTI002927,OL
2138531,CPTI003588,overview
2138532,CPTI002927,VNC
2138533,CPTI002927,overview
2138534,CPTI000239,OL
2138535,CPTI000239,MB
2138536,CPTI000239,VNC
2138537,CPTI000239,overview
2138538,CPTI003501,overview
2138539,CPTI000263,OL
2138540,CPTI000263,MB
2138541,CPTI000263,VNC
2138542,CPTI000263,overview
2138543,CPTI000037,CB
2138544,CPTI002102,overview
2138545,CPTI000037,MB
2138546,CPTI001473,overview
2138547,CPTI001473,CB
2138548,CPTI100051,CB
2138549,CPTI100051,OL
2138550,CPTI100051,MB
2138551,CPTI100051,overview
2138552,CPTI002264,CB
2138553,CPTI002264,OL
2138554,CPTI002264,MB
2138555,CPTI002264,VNC
2138556,CPTI002264,overview
2138557,CPTI000091,OL
2138558,CPTI000091,MB
2138559,CPTI000091,VNC
2138560,CPTI000091,overview
2138561,CPTI003923,VNC
2138562,CPTI001455,OL
2138563,CPTI001455,CB
2138564,CPTI000190,CB
2138565,CPTI000190,OL
2138566,CPTI001455,MB
2138567,CPTI000190,VNC
2138568,CPTI001081,CB
2138574,CPTI003250,CB
2138575,CPTI003250,OL
2138576,CPTI003250,MB
2138577,CPTI003501,OL
2138578,CPTI003501,CB
2138579,CPTI003501,MB
2138580,CPTI003501,VNC
2138581,CPTI100043,VNC
2138582,CPTI100043,overview
2138583,CPTI001879,CB
2138584,CPTI001879,OL
2138585,CPTI001879,MB
2138586,CPTI001879,VNC
2138587,CPTI001879,overview
2138588,CPTI001427,CB
2138589,CPTI001427,OL
2138590,CPTI001427,MB
2138591,CPTI001427,VNC
2138592,CPTI002023,CB
2138593,CPTI002023,OL
2138594,CPTI002023,MB
2138595,CPTI002023,VNC
2138596,CPTI002023,overview
2138597,CPTI003917,CB
2138598,CPTI003917,OL
2138599,CPTI003917,MB
2138600,CPTI003917,VNC
