figure_id,What is the level of RNA expression in NMJ?,What is the level of protein expression in NMJ?,Nascent transcript level in muscle,Cytosolic RNA level in muscle,Is there obvious RNA/protein discordance (whole image- NMJ)?,Is RNA present in muscle?,Is protein present in muscle?,Is protein present in NMJ post synaptic density?,Is RNA present in NMJ neuron?,Is protein present in NMJ neuron?,Is RNA present in NMJ axon terminal?,Is protein present in NMJ axon terminal?,Protein localized in glia?,RNA in localized in glia,,RNA in neuropil glia?,protein in neuropil glia?,RNA in cortical glia?,protein in cortical glia?,,All glia RNA,All glia protein,,,
2138060,Low,Moderate,Low,Low,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138061,Moderate,Moderate,High,Low,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138070,High,High,High,High,No,Yes,Yes,Yes,Yes,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138072,High,Moderate,Low,High,Yes,Yes,Yes,No,Yes,No,yes,no,no,no,,no,no,no,no,,no,no,,,
2138073,Low,Moderate,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138077,Low,Low,None,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138078,Moderate,Low,High,Low,No,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138081,High,High,Moderate,High,No,Yes,No,Yes,No,No,no,no,no,no,,no,yes,no,no,,no,no,,,
2138082,Low,Low,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138083,Low,Moderate,Low,None,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138085,Low,Moderate,Moderate,Low,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138088,None,None,None,None,No,No,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138090,High,High,Moderate,High,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138092,Moderate,Moderate,Moderate,High,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138094,High,Moderate,Moderate,Moderate,Yes,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138096,Moderate,Moderate,High,None,Yes,Yes,No,No,No,Yes,no,yes,no,no,,no,no,no,no,,no,no,,,
2138097,Moderate,Moderate,Moderate,Moderate,Yes,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138098,High,Moderate,High,High,No,Yes,Yes,No,Yes,Yes,no,no,no,no,,no,no,no,no,,no,no,,,
2138099,High,Moderate,Moderate,High,Yes,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138100,Moderate,Low,Low,Low,No,No,Yes,No,No,No,no,no,no,no,,yes,yes,no,no,,no,no,,,
2138101,Moderate,Moderate,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138102,Low,Low,Moderate,Low,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138104,Low,Low,None,Low,No,No,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138106,Low,Low,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138110,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138111,Low,High,Moderate,None,Yes,No,No,Yes,No,No,no,yes,no,no,,no,yes,no,no,,no,no,,,
2138112,Moderate,Low,Low,Moderate,No,Yes,Yes,No,Yes,No,no,no,yes,yes,,no,no,no,no,,no,no,,,
2138113,Moderate,Moderate,High,Moderate,No,Yes,No,Yes,No,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138114,Low,Moderate,None,Low,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138115,Low,Moderate,Moderate,Low,No,Yes,Yes,No,No,No,no,no,yes,yes,,no,no,no,no,,no,no,,,
2138116,High,Moderate,None,High,No,Yes,Yes,No,Yes,No,yes,no,no,no,,no,no,no,no,,no,no,,,
2138118,Low,Moderate,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138122,Moderate,Moderate,Low,High,No,Yes,No,Yes,Yes,Yes,no,yes,yes,no,,no,no,no,no,,no,no,,,
2138131,Low,Moderate,Low,Low,No,Yes,Yes,No,Yes,Yes,no,no,no,no,,yes,yes,no,no,,no,no,,,
2138142,Moderate,Low,Low,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138143,Low,Low,Moderate,Low,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138144,Low,Low,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138145,Moderate,High,High,Low,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138146,Low,Low,Low,None,No,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138154,Moderate,Low,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138155,Moderate,Moderate,Moderate,Moderate,No,Yes,No,No,Yes,Yes,yes,no,yes,yes,,no,no,no,no,,no,no,,,
2138163,Low,High,None,None,No,Yes,No,No,No,Yes,no,yes,no,no,,no,no,no,no,,no,no,,,
2138164,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,No,No,No,yes,no,no,no,,yes,yes,no,no,,no,no,,,
2138169,Moderate,High,None,Moderate,Yes,Yes,No,Yes,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138175,High,High,Low,Moderate,No,Yes,Yes,Yes,No,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138185,Low,None,None,None,No,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138191,Low,None,None,None,No,No,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138196,None,None,None,None,No,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138198,Low,High,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138200,Moderate,Moderate,Low,Moderate,No,Yes,Yes,No,Yes,No,yes,no,no,no,,no,no,no,no,,no,no,,,
2138201,Moderate,Low,None,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138202,High,High,High,Moderate,No,Yes,Yes,No,No,No,no,yes,no,no,,no,no,no,no,,no,no,,,
2138203,Moderate,Low,None,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138204,Moderate,Low,Low,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,yes,no,,,
2138205,Moderate,High,Moderate,Moderate,No,Yes,Yes,Yes,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138206,Low,None,None,Low,No,No,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138207,High,Moderate,High,High,No,Yes,Yes,No,Yes,No,no,no,yes,yes,,no,no,no,no,,no,no,,,
2138208,Low,Low,None,Low,No,Yes,Yes,No,No,No,no,no,no,no,,yes,yes,no,no,,no,no,,,
2138209,Moderate,Low,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138210,Low,Moderate,Low,Low,No,Yes,Yes,No,Yes,Yes,no,no,yes,yes,,no,no,no,no,,no,no,,,
2138211,Low,Moderate,Low,None,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138212,Low,Low,Moderate,Low,No,Yes,No,No,No,Yes,no,no,yes,yes,,no,no,no,no,,no,no,,,
2138213,Low,Low,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,yes,no,no,,no,no,,,
2138214,None,Moderate,None,None,No,No,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138215,Low,Low,Moderate,None,No,No,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138216,Low,Low,None,Low,No,Yes,No,No,Yes,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138217,Moderate,Low,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138218,Moderate,Low,Low,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138219,High,High,None,High,No,No,Yes,No,Yes,Yes,no,no,no,no,,no,no,no,no,,no,no,,,
2138220,High,Low,Moderate,High,No,Yes,Yes,No,Yes,No,yes,no,no,no,,no,no,no,no,,no,no,,,
2138221,Moderate,High,Low,Moderate,No,Yes,No,Yes,Yes,Yes,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138222,Moderate,None,Moderate,Low,No,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138223,High,High,Moderate,High,No,Yes,Yes,No,Yes,Yes,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138224,Low,Low,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138225,High,High,Low,High,No,Yes,Yes,Yes,Yes,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138226,High,Low,Moderate,High,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138227,Moderate,High,Moderate,Moderate,No,Yes,No,Yes,Yes,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
