FBgID,CPTI,gene_name,figure_id,RNA_NMJ_axon,protein_NMJ_axon,Localized RNA,Localized Protein,,Both,RNA only,Protein only,,figure_id,Is RNA present in axon terminal?,,,figure_id,Is protein present in axon terminal?,,,,Is RNA present in post synaptic density?,,,,Is protein present in post synaptic density?,
FBgn0011817,CPTI003785,nmo,2138104,no,no,,,,,,,,2138115,No,1,,2138115,No,1,,,Yes,,,,No,
FBgn0263037,CPTI003732,CG43332,2138106,no,no,,,,,,,,2138116,Yes,0,,2138116,No,1,,,Yes,,,,No,
FBgn0036449,CPTI000472,bmm,2138110,no,no,,,,,,,,2138118,No,1,,2138118,No,1,,,Yes,,,,No,
FBgn0259212,CPTI000590,cno,2138112,no,no,,,,,,,,2138122,Yes,0,,2138122,Yes,0,,,Yes,,,,Yes,
FBgn0000017,CPTI000658,Abl,2138114,no,no,,,,,,,,2138131,No,1,,2138131,No,1,,,No,,,,No,
FBgn0286818,CPTI000688,Pdi,2138115,no,no,,,,,,,,2138142,Yes,0,,2138142,No,1,,,Yes,,,,No,
FBgn0010217,CPTI000877,ATPsyn-beta,2138116,no,no,,,,,,,,2138143,No,1,,2138143,No,1,,,Yes,,,,Yes,
FBgn0085451,CPTI000739,htk,2138118,no,no,,,,,,,,2138144,No,1,,2138144,No,1,,,No,,,,No,
FBgn0052062,CPTI003100,CG32062,2138131,no,no,,,,,,,,2138145,No,1,,2138145,No,1,,,Yes,,,,Yes,
FBgn0261278,CPTI000640,grp,2138142,no,no,,,,,,,,2138146,No,1,,2138146,No,1,,,No,,,,No,
FBgn0266098,CPTI003323,rg,2138143,no,no,,,,,,,,2138154,Yes,0,,2138154,No,1,,,Yes,,,,No,
FBgn0259984,CPTI000031,kuz,2138144,no,no,,,,,,,,2138155,Yes,0,,2138155,No,1,,,Yes,,,,No,
FBgn0024238,CPTI003394,Fim,2138145,no,no,,,,,,,,2138163,No,1,,2138163,Yes,0,,,No,,,,No,
FBgn0016797,CPTI003490,fz2,2138146,no,no,,,,,,,,2138164,Yes,0,,2138164,No,1,,,Yes,,,,No,
FBgn0026259,CPTI003501,eIf5B,2138154,no,no,,,,,,,,2138169,Yes,0,,2138169,No,1,,,Yes,,,,Yes,
FBgn0015777,CPTI001455,nrv2,2138155,no,no,,,,,,,,2138175,No,1,,2138175,No,1,,,Yes,,,,Yes,
FBgn0037010,CPTI003911,CG4825,2138164,no,no,,,,,,,,2138185,No,1,,2138185,No,1,,,No,,,,No,
FBgn0259143,CPTI003923,CG42258,2138169,no,no,,,,,,,,2138191,No,1,,2138191,No,1,,,No,,,,No,
